Country/Other,Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Afghanistan,288,339,-15,7,3,8,-63,0,40164434
Armenia,3640,4965,-27,1225,211,249,-15,71,2971068
Azerbaijan,11615,12763,-9,1131,170,184,-8,17,10268225
Bahrain,246,182,35,138,0,1,-100,0,1784842
Bangladesh,1648,1688,-2,10,23,30,-23,0,167006043
Bhutan,7,8,-13,9,0,0,0,0,783603
Brunei,392,410,-4,884,1,0,1,2,443394
Cambodia,191,307,-38,11,31,33,-6,2,17045531
China,187,187,0,0,0,0,0,0,1447175543
Cyprus,3445,2604,32,2824,6,3,1,5,1219772
Georgia,26461,28067,-6,6651,439,475,-8,110,3978346
Hong Kong,26,22,18,3,0,0,0,0,7582874
India,61013,69165,-12,44,2663,2431,0,2,1399161383
Indonesia,2417,2569,-6,9,77,68,0,0,277607186
Iran,29436,36367,-19,344,645,779,-17,8,85510446
Iraq,5026,5263,-5,121,108,150,-28,3,41495089
Israel,2355,2871,-18,253,19,29,-34,2,9326000
Japan,710,969,-27,6,10,22,-55,0,125929267
Jordan,30221,25040,21,2921,205,124,1,20,10346151
Kazakhstan,6023,7050,-15,315,119,127,-6,6,19093759
Kuwait,185,127,46,42,0,3,-100,0,4359700
Kyrgyzstan,398,425,-6,60,17,19,-11,3,6676068
Laos,9256,8158,0,1247,33,27,0,4,7424555
Lebanon,10214,6374,1,1506,59,70,-16,9,6782245
Malaysia,35702,40215,-11,1083,315,341,-8,10,32951341
Maldives,706,827,-15,1274,2,1,1,4,553975
Mongolia,3329,4102,-19,993,45,59,-24,13,3352781
Myanmar,3300,4386,-25,60,63,78,-19,1,54924965
Nepal,1667,2027,-18,56,17,27,-37,1,29876090
Oman,45,68,-34,9,0,0,0,0,5289673
Pakistan,2330,2418,-4,10,60,50,0,0,226941972
Palestine,1843,1479,25,350,20,19,0,4,5268600
Philippines,4768,8466,-44,43,1063,1674,-36,10,111639683
Qatar,1072,997,8,382,0,0,0,0,2807805
S. Korea,26280,21359,0,512,296,191,1,6,51331529
Saudi Arabia,196,259,-24,6,9,9,0,0,35578933
Singapore,9294,14090,-34,1571,46,60,-23,8,5915319
Sri Lanka,5129,5866,-13,238,164,148,0,8,21540081
Syria,722,884,-18,40,35,37,-5,2,18099930
Taiwan,62,41,51,3,0,0,0,0,23877680
Tajikistan,0,4,-100,0,0,0,0,0,9839683
Thailand,39737,45435,-13,567,282,346,-18,4,70047428
Timor-Leste,2,8,-75,1,0,0,0,0,1353865
Turkey,171008,167461,2,1997,1399,1470,-5,16,85620347
UAE,471,496,-5,47,3,0,3,0,10059090
Uzbekistan,1458,1646,-11,43,20,22,-9,1,34153753
Vietnam,94115,72079,0,955,1134,848,0,12,98575292
Yemen,37,31,19,1,8,16,-50,0,30752189
